113	Y307	Y307	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.351923	2015-05-21 19:27:16.351923
114	Y308a	H5	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.367545	2015-05-21 19:27:16.367545
115	Y308b	Y308b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.367545	2015-05-21 19:27:16.367545
116	Y308c	Y308c	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.367545	2015-05-21 19:27:16.367545
117	Y309a	Y309a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.367545	2015-05-21 19:27:16.367545
118	Y309b	Y309b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.367545	2015-05-21 19:27:16.367545
119	Y309c	Y309c	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.367545	2015-05-21 19:27:16.367545
120	Y313	Y313	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.367545	2015-05-21 19:27:16.367545
121	Y323	Y323	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.367545	2015-05-21 19:27:16.367545
122	Y338c	Y338c	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.367545	2015-05-21 19:27:16.367545
123	Y339a	Y339a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.383171	2015-05-21 19:27:16.383171
124	Y339b	Y339b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.383171	2015-05-21 19:27:16.383171
125	Y342a	Y342a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.383171	2015-05-21 19:27:16.383171
126	Y344	Y344	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.383171	2015-05-21 19:27:16.383171
127	Y404	H6	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.383171	2015-05-21 19:27:16.383171
128	Y405	Y405	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.383171	2015-05-21 19:27:16.383171
129	Y421	Y421/minineukkari-itseopiskelu	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.383171	2015-05-21 19:27:16.383171
130	Y423	Y423	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.383171	2015-05-21 19:27:16.383171
131	Y427a	Y427a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.383171	2015-05-21 19:27:16.383171
132	Y427b	Y427b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.398796	2015-05-21 19:27:16.398796
133	Y429a	Y429a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.398796	2015-05-21 19:27:16.398796
134	Y429c	Y429c	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.398796	2015-05-21 19:27:16.398796
135	Y430a	Y430a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.398796	2015-05-21 19:27:16.398796
136	Y430b	Y430b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.398796	2015-05-21 19:27:16.398796
137	YAula	ylä-aula	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.398796	2015-05-21 19:27:16.398796
138	Rakennus- ja ympäristötekniikka	\N	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.398796	2015-05-21 19:27:16.398796
139	CADluokka	267	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.398796	2015-05-21 19:27:16.398796
140	266	266	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.398796	2015-05-21 19:27:16.398796
141	355	355	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.414421	2015-05-21 19:27:16.414421
142	226b	226b	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.414421	2015-05-21 19:27:16.414421
143	K2	165	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.414421	2015-05-21 19:27:16.414421
144	R1	160a	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.414421	2015-05-21 19:27:16.414421
145	R2	253	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.414421	2015-05-21 19:27:16.414421
